name,sbif_code,country
Banco de Chile,"001",Chile
Banco Edwards,"001",Chile
Citi,"001",Chile
Atlas,"001",Chile
CrediChile,"001",Chile
Banco Internacional,"009",Chile
Banco Estado,"012",Chile
Scotiabank Chile,"014",Chile
Banco De Credito e Inversiones (BCI),"016",Chile
Tbanc,"016",Chile
BCI Nova,"016",Chile
Corpbanca,"027",Chile
Banco Condell,"027",Chile
Banco Bice,"028",Chile
Hsbc Bank,"031",Chile
Banco Santander-Chile,"037",Chile
Banefe,"037",Chile
Banco Itaú Chile,"039",Chile
Banco Security,"049",Chile
Banco Falabella,"051",Chile
Deutsche Bank,"052",Chile
Banco Ripley,"053",Chile
Rabobank Chile (Ex Hns Banco),"054",Chile
Banco Consorcio (Ex Banco Monex),"055",Chile
Banco Penta,"056",Chile
Banco Paris,"057",Chile
Banco Bilbao Vizcaya Argentaria Chile (BBVA),"504",Chile
BBVA Express,"504",Chile
Banco Btg Pactual Chile,"059",Chile
Banco Do Brasil S.A.,"017",Chile
Jp Morgan Chase Bank  N. A.,"041",Chile
Banco De La Nacion Argentina,"043",Chile
