"id","name","state_ids/id"
"l10n_cl_dte.ur_Anc","Ancud","l10n_cl_toponyms.CL10202,l10n_cl_toponyms.CL10209"
"l10n_cl_dte.ur_Ang","Angol","l10n_cl_toponyms.CL09201,l10n_cl_toponyms.CL09202,l10n_cl_toponyms.CL09204,l10n_cl_toponyms.CL09206,l10n_cl_toponyms.CL09208,l10n_cl_toponyms.CL09209"
"l10n_cl_dte.ur_Ant","Antofagasta","l10n_cl_toponyms.CL02101,l10n_cl_toponyms.CL02102,l10n_cl_toponyms.CL02103"
"l10n_cl_dte.ur_Ari","Arica y Parinacota","l10n_cl_toponyms.CL15101,l10n_cl_toponyms.CL15102,l10n_cl_toponyms.CL15201,l10n_cl_toponyms.CL15202"
"l10n_cl_dte.ur_Ays","Aysén","l10n_cl_toponyms.CL11102,l10n_cl_toponyms.CL11201,l10n_cl_toponyms.CL11202,l10n_cl_toponyms.CL11203"
"l10n_cl_dte.ur_Cal","Calama","l10n_cl_toponyms.CL02201,l10n_cl_toponyms.CL02202,l10n_cl_toponyms.CL02203"
"l10n_cl_dte.ur_Cas","Castro","l10n_cl_toponyms.CL10201,l10n_cl_toponyms.CL10203,l10n_cl_toponyms.CL10204,l10n_cl_toponyms.CL10205,l10n_cl_toponyms.CL10206,l10n_cl_toponyms.CL10207,l10n_cl_toponyms.CL10208"
"l10n_cl_dte.ur_Cau","Cauquenes","l10n_cl_toponyms.CL07201,l10n_cl_toponyms.CL07202,l10n_cl_toponyms.CL07203"
"l10n_cl_dte.ur_Cha","Chaitén","l10n_cl_toponyms.CL10401,l10n_cl_toponyms.CL10402,l10n_cl_toponyms.CL10404"
"l10n_cl_dte.ur_Chn","Chañaral","l10n_cl_toponyms.CL03201,l10n_cl_toponyms.CL03202"
"l10n_cl_dte.ur_ChC","Chile Chico","l10n_cl_toponyms.CL11401"
"l10n_cl_dte.ur_Chi","Chillán","l10n_cl_toponyms.CL08401,l10n_cl_toponyms.CL08402,l10n_cl_toponyms.CL08403,l10n_cl_toponyms.CL08404,l10n_cl_toponyms.CL08405,l10n_cl_toponyms.CL08406,l10n_cl_toponyms.CL08407,l10n_cl_toponyms.CL08408,l10n_cl_toponyms.CL08410,l10n_cl_toponyms.CL08411,l10n_cl_toponyms.CL08412,l10n_cl_toponyms.CL08413,l10n_cl_toponyms.CL08414,l10n_cl_toponyms.CL08415,l10n_cl_toponyms.CL08418,l10n_cl_toponyms.CL08420,l10n_cl_toponyms.CL08421"
"l10n_cl_dte.ur_Coc","Cochrane","l10n_cl_toponyms.CL11301,l10n_cl_toponyms.CL11302,l10n_cl_toponyms.CL11303"
"l10n_cl_dte.ur_Cop","Concepción ","l10n_cl_toponyms.CL08101,l10n_cl_toponyms.CL08102,l10n_cl_toponyms.CL08103,l10n_cl_toponyms.CL08104,l10n_cl_toponyms.CL08105,l10n_cl_toponyms.CL08106,l10n_cl_toponyms.CL08107,l10n_cl_toponyms.CL08108,l10n_cl_toponyms.CL08109,l10n_cl_toponyms.CL08111,l10n_cl_toponyms.CL08202"
"l10n_cl_dte.ur_Cos","Constitución","l10n_cl_toponyms.CL07102,l10n_cl_toponyms.CL07104"
"l10n_cl_dte.ur_Coo","Copiapo","l10n_cl_toponyms.CL03101,l10n_cl_toponyms.CL03102,l10n_cl_toponyms.CL03103"
"l10n_cl_dte.ur_Coq","Coquimbo","l10n_cl_toponyms.CL04102"
"l10n_cl_dte.ur_Coy","Coyhaique","l10n_cl_toponyms.CL11101,l10n_cl_toponyms.CL11302,l10n_cl_toponyms.CL11303,l10n_cl_toponyms.CL11402"
"l10n_cl_dte.ur_Cur","Curicó","l10n_cl_toponyms.CL07301,l10n_cl_toponyms.CL07302,l10n_cl_toponyms.CL07303,l10n_cl_toponyms.CL07304,l10n_cl_toponyms.CL07305,l10n_cl_toponyms.CL07306,l10n_cl_toponyms.CL07307,l10n_cl_toponyms.CL07308,l10n_cl_toponyms.CL07309"
"l10n_cl_dte.ur_Gra","Grandes Contribuyentes",""
"l10n_cl_dte.ur_Ill","Illapel","l10n_cl_toponyms.CL04201,l10n_cl_toponyms.CL04202,l10n_cl_toponyms.CL04203,l10n_cl_toponyms.CL04204"
"l10n_cl_dte.ur_Iqu","Iquique","l10n_cl_toponyms.CL01101,l10n_cl_toponyms.CL01107,l10n_cl_toponyms.CL01401,l10n_cl_toponyms.CL01402,l10n_cl_toponyms.CL01403,l10n_cl_toponyms.CL01404,l10n_cl_toponyms.CL01405"
"l10n_cl_dte.ur_LaL","La Ligua","l10n_cl_toponyms.CL05401,l10n_cl_toponyms.CL05402,l10n_cl_toponyms.CL05403,l10n_cl_toponyms.CL05404,l10n_cl_toponyms.CL05405"
"l10n_cl_dte.ur_LaS","La Serena","l10n_cl_toponyms.CL04101,l10n_cl_toponyms.CL04103,l10n_cl_toponyms.CL04104,l10n_cl_toponyms.CL04105,l10n_cl_toponyms.CL04106"
"l10n_cl_dte.ur_LaU","La Unión","l10n_cl_toponyms.CL14201,l10n_cl_toponyms.CL14203,l10n_cl_toponyms.CL14204"
"l10n_cl_dte.ur_Lan","Lanco","l10n_cl_toponyms.CL14103"
"l10n_cl_dte.ur_Leb","Lebu","l10n_cl_toponyms.CL08201,l10n_cl_toponyms.CL08203,l10n_cl_toponyms.CL08204,l10n_cl_toponyms.CL08205,l10n_cl_toponyms.CL08206,l10n_cl_toponyms.CL08207"
"l10n_cl_dte.ur_Lin","Linares","l10n_cl_toponyms.CL07401,l10n_cl_toponyms.CL07402,l10n_cl_toponyms.CL07403,l10n_cl_toponyms.CL07407,l10n_cl_toponyms.CL07408"
"l10n_cl_dte.ur_Lod","Los Andes","l10n_cl_toponyms.CL05301,l10n_cl_toponyms.CL05302,l10n_cl_toponyms.CL05303,l10n_cl_toponyms.CL05304"
"l10n_cl_dte.ur_Log","Los Ángeles","l10n_cl_toponyms.CL08301,l10n_cl_toponyms.CL08302,l10n_cl_toponyms.CL08303,l10n_cl_toponyms.CL08304,l10n_cl_toponyms.CL08305,l10n_cl_toponyms.CL08306,l10n_cl_toponyms.CL08307,l10n_cl_toponyms.CL08308,l10n_cl_toponyms.CL08309,l10n_cl_toponyms.CL08310,l10n_cl_toponyms.CL08311,l10n_cl_toponyms.CL08312,l10n_cl_toponyms.CL08313,l10n_cl_toponyms.CL08314"
"l10n_cl_dte.ur_Oso","Osorno","l10n_cl_toponyms.CL10301,l10n_cl_toponyms.CL10302,l10n_cl_toponyms.CL10303,l10n_cl_toponyms.CL10304,l10n_cl_toponyms.CL10305,l10n_cl_toponyms.CL10306,l10n_cl_toponyms.CL10307"
"l10n_cl_dte.ur_Ova","Ovalle","l10n_cl_toponyms.CL04301,l10n_cl_toponyms.CL04302,l10n_cl_toponyms.CL04303,l10n_cl_toponyms.CL04304,l10n_cl_toponyms.CL04305"
"l10n_cl_dte.ur_Pan","Panguipulli","l10n_cl_toponyms.CL14108"
"l10n_cl_dte.ur_Par","Parral","l10n_cl_toponyms.CL07404,l10n_cl_toponyms.CL07405"
"l10n_cl_dte.ur_Pic","Pichilemu","l10n_cl_toponyms.CL06201,l10n_cl_toponyms.CL06202,l10n_cl_toponyms.CL06203,l10n_cl_toponyms.CL06204,l10n_cl_toponyms.CL06206"
"l10n_cl_dte.ur_Por","Porvenir","l10n_cl_toponyms.CL12301,l10n_cl_toponyms.CL12302,l10n_cl_toponyms.CL12303"
"l10n_cl_dte.ur_PuM","Puerto Montt","l10n_cl_toponyms.CL10101,l10n_cl_toponyms.CL10102,l10n_cl_toponyms.CL10106,l10n_cl_toponyms.CL10108,l10n_cl_toponyms.CL10403"
"l10n_cl_dte.ur_PuN","Puerto Natales","l10n_cl_toponyms.CL12401,l10n_cl_toponyms.CL12402"
"l10n_cl_dte.ur_PuV","Puerto Varas","l10n_cl_toponyms.CL10103,l10n_cl_toponyms.CL10104,l10n_cl_toponyms.CL10105,l10n_cl_toponyms.CL10107,l10n_cl_toponyms.CL10109"
"l10n_cl_dte.ur_PuA","Punta Arenas","l10n_cl_toponyms.CL12101,l10n_cl_toponyms.CL12102,l10n_cl_toponyms.CL12103,l10n_cl_toponyms.CL12104,l10n_cl_toponyms.CL12201"
"l10n_cl_dte.ur_Qui","Quillota","l10n_cl_toponyms.CL05501,l10n_cl_toponyms.CL05502,l10n_cl_toponyms.CL05503,l10n_cl_toponyms.CL05504,l10n_cl_toponyms.CL05505,l10n_cl_toponyms.CL05506,l10n_cl_toponyms.CL05507"
"l10n_cl_dte.ur_Ran","Rancagua","l10n_cl_toponyms.CL06101,l10n_cl_toponyms.CL06102,l10n_cl_toponyms.CL06103,l10n_cl_toponyms.CL06104,l10n_cl_toponyms.CL06105,l10n_cl_toponyms.CL06106,l10n_cl_toponyms.CL06108,l10n_cl_toponyms.CL06109,l10n_cl_toponyms.CL06110,l10n_cl_toponyms.CL06111,l10n_cl_toponyms.CL06114,l10n_cl_toponyms.CL06115,l10n_cl_toponyms.CL06116"
"l10n_cl_dte.ur_SaA","San Antonio","l10n_cl_toponyms.CL05601,l10n_cl_toponyms.CL05602,l10n_cl_toponyms.CL05603,l10n_cl_toponyms.CL05604,l10n_cl_toponyms.CL05605,l10n_cl_toponyms.CL05606"
"l10n_cl_dte.ur_Sar","San Carlos","l10n_cl_toponyms.CL08416,l10n_cl_toponyms.CL08417,l10n_cl_toponyms.CL08419,l10n_cl_toponyms.CL12104"
"l10n_cl_dte.ur_SaF","San Felipe","l10n_cl_toponyms.CL05701,l10n_cl_toponyms.CL05702,l10n_cl_toponyms.CL05703,l10n_cl_toponyms.CL05704,l10n_cl_toponyms.CL05705,l10n_cl_toponyms.CL05706"
"l10n_cl_dte.ur_SaD","San Fernando","l10n_cl_toponyms.CL06301,l10n_cl_toponyms.CL06303,l10n_cl_toponyms.CL06305,l10n_cl_toponyms.CL06308"
"l10n_cl_dte.ur_SaV","San Vicente de Tagua Tagua","l10n_cl_toponyms.CL06107,l10n_cl_toponyms.CL06112,l10n_cl_toponyms.CL06113,l10n_cl_toponyms.CL06117"
"l10n_cl_dte.ur_SaZ","Santa Cruz","l10n_cl_toponyms.CL06302,l10n_cl_toponyms.CL06304,l10n_cl_toponyms.CL06306,l10n_cl_toponyms.CL06307,l10n_cl_toponyms.CL06309,l10n_cl_toponyms.CL06310"
"l10n_cl_dte.ur_SaC","Santiago Centro","l10n_cl_toponyms.CL13101"
"l10n_cl_dte.ur_SaN","Santiago Norte","l10n_cl_toponyms.CL13104,l10n_cl_toponyms.CL13107,l10n_cl_toponyms.CL13108,l10n_cl_toponyms.CL13125,l10n_cl_toponyms.CL13127,l10n_cl_toponyms.CL13301,l10n_cl_toponyms.CL13302,l10n_cl_toponyms.CL13303"
"l10n_cl_dte.ur_SaO","Santiago Oriente","l10n_cl_toponyms.CL06107,l10n_cl_toponyms.CL13115,l10n_cl_toponyms.CL13123,l10n_cl_toponyms.CL13132"
"l10n_cl_dte.ur_SaP","Santiago Poniente","l10n_cl_toponyms.CL13103,l10n_cl_toponyms.CL13106,l10n_cl_toponyms.CL13117,l10n_cl_toponyms.CL13124,l10n_cl_toponyms.CL13126,l10n_cl_toponyms.CL13128,l10n_cl_toponyms.CL13503"
"l10n_cl_dte.ur_SaS","Santiago Sur","l10n_cl_toponyms.CL13109,l10n_cl_toponyms.CL13111,l10n_cl_toponyms.CL13112,l10n_cl_toponyms.CL13116,l10n_cl_toponyms.CL13121,l10n_cl_toponyms.CL13129,l10n_cl_toponyms.CL13130,l10n_cl_toponyms.CL13131"
"l10n_cl_dte.ur_TaT","Tal-Tal","l10n_cl_toponyms.CL02104"
"l10n_cl_dte.ur_Tac","Talca","l10n_cl_toponyms.CL07101,l10n_cl_toponyms.CL07103,l10n_cl_toponyms.CL07105,l10n_cl_toponyms.CL07106,l10n_cl_toponyms.CL07107,l10n_cl_toponyms.CL07108,l10n_cl_toponyms.CL07109,l10n_cl_toponyms.CL07406"
"l10n_cl_dte.ur_Tah","Talcahuano","l10n_cl_toponyms.CL08110,l10n_cl_toponyms.CL08112"
"l10n_cl_dte.ur_Tem","Temuco","l10n_cl_toponyms.CL09101,l10n_cl_toponyms.CL09102,l10n_cl_toponyms.CL09103,l10n_cl_toponyms.CL09105,l10n_cl_toponyms.CL09106,l10n_cl_toponyms.CL09107,l10n_cl_toponyms.CL09108,l10n_cl_toponyms.CL09109,l10n_cl_toponyms.CL09110,l10n_cl_toponyms.CL09111,l10n_cl_toponyms.CL09112,l10n_cl_toponyms.CL09113,l10n_cl_toponyms.CL09114,l10n_cl_toponyms.CL09116,l10n_cl_toponyms.CL09117,l10n_cl_toponyms.CL09118,l10n_cl_toponyms.CL09119,l10n_cl_toponyms.CL09121"
"l10n_cl_dte.ur_Toc","Tocopilla","l10n_cl_toponyms.CL02301,l10n_cl_toponyms.CL02302"
"l10n_cl_dte.ur_Vld","Valdivia","l10n_cl_toponyms.CL14101,l10n_cl_toponyms.CL14102,l10n_cl_toponyms.CL14103,l10n_cl_toponyms.CL14104,l10n_cl_toponyms.CL14105,l10n_cl_toponyms.CL14106,l10n_cl_toponyms.CL14107,l10n_cl_toponyms.CL14108,l10n_cl_toponyms.CL14201,l10n_cl_toponyms.CL14202,l10n_cl_toponyms.CL14203,l10n_cl_toponyms.CL14204"
"l10n_cl_dte.ur_Val","Vallenar","l10n_cl_toponyms.CL03301,l10n_cl_toponyms.CL03302,l10n_cl_toponyms.CL03303,l10n_cl_toponyms.CL03304"
"l10n_cl_dte.ur_Vlp","Valparaíso","l10n_cl_toponyms.CL05101,l10n_cl_toponyms.CL05102,l10n_cl_toponyms.CL05103,l10n_cl_toponyms.CL05104,l10n_cl_toponyms.CL05105,l10n_cl_toponyms.CL05107,l10n_cl_toponyms.CL05109,l10n_cl_toponyms.CL05201"
"l10n_cl_dte.ur_Vic","Victoria","l10n_cl_toponyms.CL09203,l10n_cl_toponyms.CL09205,l10n_cl_toponyms.CL09207,l10n_cl_toponyms.CL09210,l10n_cl_toponyms.CL09211"
