id,code,name,state_id/id,l10n_cl_sii_regional_office,country_id/id
city_cl_11201,CL11201,Aisén,state_cl_112,ur_Ays,base.cl
city_cl_05602,CL05602,Algarrobo,state_cl_056,ur_SaA,base.cl
city_cl_13502,CL13502,Alhué,state_cl_135,ur_SaP,base.cl
city_cl_08314,CL08314,Alto Biobío,state_cl_083,ur_Log,base.cl
city_cl_03302,CL03302,Alto del Carmen,state_cl_033,ur_Val,base.cl
city_cl_01107,CL01107,Alto Hospicio,state_cl_011,ur_Iqu,base.cl
city_cl_10202,CL10202,Ancud,state_cl_102,ur_Anc,base.cl
city_cl_04103,CL04103,Andacollo,state_cl_041,ur_LaS,base.cl
city_cl_09201,CL09201,Angol,state_cl_092,ur_Ang,base.cl
city_cl_12202,CL12202,ANTÁRTICA,state_cl_122,ur_PuA,base.cl
city_cl_02101,CL02101,Antofagasta,state_cl_021,ur_Ant,base.cl
city_cl_08302,CL08302,Antuco,state_cl_083,ur_Log,base.cl
city_cl_08202,CL08202,Arauco,state_cl_082,ur_Cop,base.cl
city_cl_15101,CL15101,Arica,state_cl_151,ur_Ari,base.cl
city_cl_13402,CL13402,Buin,state_cl_134,ur_SaS,base.cl
city_cl_08402,CL08402,Bulnes,base.state_cl_16,ur_Chi,base.cl
city_cl_05402,CL05402,Cabildo,state_cl_054,ur_LaL,base.cl
city_cl_12201,CL12201,Cabo de Hornos,state_cl_122,ur_PuA,base.cl
city_cl_08303,CL08303,Cabrero,state_cl_083,ur_Log,base.cl
city_cl_02201,CL02201,Calama,state_cl_022,ur_Cal,base.cl
city_cl_10102,CL10102,Calbuco,state_cl_101,ur_PuM,base.cl
city_cl_03102,CL03102,Caldera,state_cl_031,ur_Coo,base.cl
city_cl_05502,CL05502,Calera,state_cl_055,ur_Qui,base.cl
city_cl_13403,CL13403,Calera de Tango,state_cl_134,ur_SaS,base.cl
city_cl_05302,CL05302,Calle Larga,state_cl_053,ur_Lod,base.cl
city_cl_15102,CL15102,Camarones,state_cl_151,ur_Ari,base.cl
city_cl_01402,CL01402,Camiña,state_cl_014,ur_Iqu,base.cl
city_cl_04202,CL04202,Canela,state_cl_042,ur_Ill,base.cl
city_cl_08203,CL08203,Cañete,state_cl_082,ur_Leb,base.cl
city_cl_09102,CL09102,Carahue,state_cl_091,ur_Tem,base.cl
city_cl_05603,CL05603,Cartagena,state_cl_056,ur_SaA,base.cl
city_cl_05102,CL05102,Casablanca,state_cl_051,ur_Vlp,base.cl
city_cl_10201,CL10201,Castro,state_cl_102,ur_Cas,base.cl
city_cl_05702,CL05702,Catemu,state_cl_057,ur_SaF,base.cl
city_cl_07201,CL07201,Cauquenes,state_cl_072,ur_Cau,base.cl
city_cl_13102,CL13102,Cerrillos,state_cl_131,ur_SaP,base.cl
city_cl_13103,CL13103,Cerro Navia,state_cl_131,ur_SaP,base.cl
city_cl_10401,CL10401,Chaitén,state_cl_104,ur_Cha,base.cl
city_cl_03201,CL03201,Chañaral,state_cl_032,ur_Chn,base.cl
city_cl_07202,CL07202,Chanco,state_cl_072,ur_Cau,base.cl
city_cl_06302,CL06302,Chépica,state_cl_063,ur_SaZ,base.cl
city_cl_08103,CL08103,Chiguayante,state_cl_081,ur_Cop,base.cl
city_cl_11401,CL11401,Chile Chico,state_cl_114,ur_ChC,base.cl
city_cl_08401,CL08401,Chillán,base.state_cl_16,ur_Chi,base.cl
city_cl_08406,CL08406,Chillán Viejo,base.state_cl_16,ur_Chi,base.cl
