"id","parent_id:id","code","name","vat_affected","tax_category","internet_available"
"eco_acti_01",,"01","Agricultura, Ganadería, Caza y Silvicultura","ND",1,0
"eco_acti_05",,"05","Pesca","ND",1,0
"eco_acti_10",,"10","Explotación de Minas y Canteras","ND",1,0
"eco_acti_15",,"15","Industrias Manufactureras No Metálicas","ND",1,0
"eco_acti_27",,"27","Industrias Manufactureras Metálicas","ND",1,0
"eco_acti_40",,"40","Suministro de Electricidad, Gas y Agua","ND",1,0
"eco_acti_45",,"45","Construcción","ND",1,0
"eco_acti_50",,"50","Comercio al Por Mayor y Menor; Rep. Vehículos Automotores/Enseres Domésticos","ND",1,0
"eco_acti_55",,"55","Hoteles y Restaurantes","ND",1,0
"eco_acti_60",,"60","Transporte, Almacenamiento y Comunicaciones","ND",1,0
"eco_acti_65",,"65","Intermediación Financiera","ND",1,0
"eco_acti_70",,"70","Actividades Inmobiliarias, Empresariales y de Alquiler","ND",1,0
"eco_acti_75",,"75","Adm. Pública y Defensa; Planes de Seg. Social, Afiliación Obligatoria","ND",1,0
"eco_acti_80",,"80","Enseñanza","ND",1,0
"eco_acti_85",,"85","Servicios Sociales y de Salud","ND",1,0
"eco_acti_90",,"90","Otras Actividades de Servicios Comunitarias, Sociales y Personales","ND",1,0
"eco_acti_95",,"95","Consejo de Administración de Edificios y Condominios","ND",1,0
"eco_acti_99",,"99","Organizaciones y Órganos Extraterritoriales","ND",1,0
"eco_acti_011","eco_acti_01","011","Cultivos En General; Cultivo de Productos de Mercado; Horticultura","ND",1,0
"eco_acti_012","eco_acti_01","012","Cría de Animales","ND",1,0
"eco_acti_013","eco_acti_01","013","Cultivo Prod. Agrícolas En Combinación Con Cría de Animales","ND",1,0
"eco_acti_014","eco_acti_01","014","Actividades de Servicios Agrícolas y Ganaderos","ND",1,0
"eco_acti_015","eco_acti_01","015","Caza Ordinaria y Mediante Trampas, Repoblación, Act. Servicio Conexas","ND",1,0
"eco_acti_020","eco_acti_01","020","Silvicultura, Extracción de Madera y Actividades de Servicios Conexas","ND",1,0
"eco_acti_051","eco_acti_05","051","Explt. de Criaderos de Peces y Prod. Del Mar; Servicios Relacionados","ND",1,0
"eco_acti_052","eco_acti_05","052","Pesca Extractiva: y Servicios Relacionados","ND",1,0
"eco_acti_100","eco_acti_10","100","Extracción, Aglomeración de Carbón de Piedra, Lignito y Turba","ND",1,0
